order,name,all_tags,name_review_num,avg_review_ratio,best_tag
26,이태원 삐삣버거,"['수제버거', '감자튀김', '햄버거', '칠리', '친구', '데이트', '한강진', '뮤지컬', '공연', '패티', '주문', '한남', '미국', '수제', '프라이', '트럭', '다운', '타우', '감튀']",438,6.46,수제버거
11,이태원 더테이블키친,"['스테이크', '생일', '뇨끼', '파스타', '크리스마스', '약속', '한남', '예약', '한강진', '분위기', '레스토랑', '주말', '관자', '오일', '인생', '애견', '동반']",9479,5.15,분위기
33,이태원 은마양대창,"['양대창', '대창', '곱창', '친구', '곱창전골', '덮밥', '한남', '한강진', '저녁', '냉면', '웨이팅', '마늘', '핫플레이스', '구이', '볶음밥', '이태원로', '양념', '대기', '인스타', '데이트']",214,4.32,대창
3,이태원 곱창도선생,"['곱창', '소곱창', '곱창전골', '데이트', '한우', '친구', '술집', '분위기', '소주', '저희', '어도', '모듬', '창집', '골목', '한판', '사용']",659,3.89,곱창
16,이태원 로우앤슬로우,"['스테이크', '생일', '스파이크', '바베큐', '고기', '솔직', '어마', '웨이팅', '소고기', '영하', '예약', '여러분', '정식', '텍사스', '직접', '대기', '하우스', '입장']",302,1.76,하우스
22,이태원 모어댄레스,"['친구', '데이트', '커피', '카페', '베를린', '편집', '한남', '보난자', '한강진', '골목', '독일', '인스타그램', '주말', '정원', '분위기', '감성', '사진전']",757,1.28,커피
36,이태원 이태원우육미엔,"['우육면', '우육미엔', '친구', '피자', '작년', '대만', '점심', '외관', '한강진', '국물', '요리', '미슐랭', '미쉐린', '음식점', '중화요리', '연속', '빕구르망', '골목', '가이드', '만두']",1126,1.25,대만
9,이태원 더방갈로,"['친구', '데이트', '칵테일', '분위기', '할로윈', '이색', '불금', '서울특별시', '모래', '할로윈데이', '한잔', '핫플레이스', '언니', '술집', '라운지', '저녁', '축제', '마다', '파티', '크리스마스', '트로피', '분장', '피자']",2225,1.23,핫플레이스
44,이태원 텅앤그루브조인트,"['한우', '회식', '양고기', '데이트', '친구', '소개팅', '미쉐린', '미슐랭', '고기', '모임', '소고기', '연속', '주말', '단골집', '가이드', '가족', '숙성', '고깃집', '분위기', '갈비', '베스트', '장소', '코스', '생일']",873,0.93,친구
32,이태원 원인어밀리언,"['카페', '핑크', '한남', '주말', '커피', '감성', '사진', '분위기', '한강진', '인스타', '핫플레이스', '디저트', '거리', '나들이', '동반', '어디', '평일', '애견', '이태원로', '밀크티', '친구', '데이트', '파스타']",7054,0.48,핫플레이스
10,이태원 더버뮤다,"['파스타', '친구', '데이트', '분위기', '쿠바', '저녁', '주차', '카페', '술집', '모임', '연말', '칵테일', '사평', '브런치', '간만', '수요미식회', '자리', '레스토랑', '명란', '스테이크']",2915,0.44,수요미식회
7,이태원 다운타우너,"['수제버거', '햄버거', '데이트', '한남', '버거', '아보카도', '일상', '웨이팅', '더블', '카페', '수요미식회', '주말', '저녁', '수제', '마지막', '이태원로', '골목', '아가', '치즈버거']",9217,0.41,치즈버거
37,이태원 장미쌀롱,"['데이트', '친구', '파스타', '피자', '와인', '술집', '분위기', '하이', '토요일', '비노', '친친', '주말', '한잔', '안주', '장소', '저렴', '가성비', '야외', '테라스', '생일']",425,0.39,와인
6,이태원 나리의집,"['냉동삼겹살', '냉삼', '청국장', '회사', '저녁', '삼겹살', '삼겹', '한강진', '일요일', '성지', '수요미식회', '주말', '웨이팅', '원조', '냉동', '대기', '대패']",5179,0.38,수요미식회
18,이태원 루프탑야스,"['피자', '파스타', '생일', '데이트', '친구', '이름', '인테리어', '예약', '특별', '이날', '주말', '파티', '레스토랑', '분위기', '연말', '브런치', '당신', '사진', '저격', '여자', '장소', '소녀시대']",784,0.37,분위기
14,이태원 라페름,"['연어', '샐러드', '쿠스쿠스', '친구', '스테이크', '한강진', '건강', '브런치', '아보카도', '예전', '주말', '카페', '언니', '푸드', '건강식', '한남', '다이어트', '분위기', '강하', '슈퍼', '치킨']",2223,0.34,샐러드
27,이태원 센시티브서울,"['피자', '파스타', '카프레제', '친구', '생일', '데이트', '한강진', '카페', '분위기', '저녁', '언니', '레스토랑', '주말', '런치', '마지막', '주문', '나들이', '예약']",275,0.34,피자
28,이태원 써머레인,"['와플', '친구', '브런치', '호주', '주말', '경리', '나들이', '아침', '카페', '분위기', '썸머', '애견', '동반', '에그베네딕트']",164,0.34,에그베네딕트
38,이태원 재재식당,"['돈까스', '데이트', '친구', '카페', '저녁', '돈가스', '주말', '골목', '카레', '사평', '인스타', '등심', '안심', '라가', '신상', '시금치', '월요일', '점심']",180,0.34,돈까스
15,이태원 랑만,"['쌀국수', '반쎄오', '데이트', '친구', '베트남', '분위기', '퀴논', '회사', '맥주', '와인', '점심', '골목', '낭만', '음식점', '현지', '인테리어', '요리', '평일', '거리', '생면']",943,0.32,베트남
40,이태원 저스틴스테이크,"['스테이크', '파스타', '한우', '데이트', '친구', '저녁', '촬영', '드라마', '가성비', '다른', '장소', '예약', '여러분', '와인', '존맛', '분위기', '레스토랑', '주말', '지인', '거리']",2758,0.32,스테이크
1,이태원 BNHR,"['밀크티', '친구', '카페', '벤허', 'bnhr', '커피', '사평', '인스타', '의자', '라가', '투어', '계단', '까운', '사진', '분위기', '애견', '동반', '떡국', '플랫화이트']",1409,0.31,bnhr
42,이태원 타파스바,"['타파스', '빠에야', '샹그리아', '친구', '감바스', '스페인', '사실', '분위기', '칵테일', '맥주', '세계', '저녁', '웨이팅', '토요일', '한잔', '가성비', '술집', '저렴', '요리', '음식점', '상그리아']",2887,0.31,타파스
43,이태원 탄탈라이즈,"['플랫화이트', '친구', '베이커리', '피자', '카페', '커피', '검색', '분위기', '디저트', '지나', '저녁', '케이크', '스콘', '자리', '감성', '작년', '챔프', '주말', '사진']",2539,0.31,카페
20,이태원 매덕스피자,"['피자', '피맥', '맥앤치즈', '친구', '어보', '분위기', '미국', '웨이팅', '조각', '뉴욕', '주말', '백종원', '골목', '저녁', '맥주', '3대천왕', '생일']",3693,0.29,피자
5,이태원 끗집,"['숙성회', '연어', '친구', '데이트', '횟집', '숙성', '저녁', '존맛', '주말', '웨이팅', '예약', '전문', '광어', '두툼', '술집', '사진', '물고기', '참치', '생일']",617,0.28,숙성
19,이태원 마렘마,"['스테이크', '친구', '파스타', '셰프', '한강진', '예약', '리조또', '저녁', '분위기', '김지운', '이탈리안', '토리아', '레스토랑', '자리', '쉐프', '쿠촐', '쿠촐로', '밀크', '간판', '생일', '피자', '아란치니']",1168,0.28,파스타
21,이태원 맥심플랜트,"['데이트', '카페', '친구', '커피', '스토어', '카누', '주말', '분위기', '동서식품', '한강진', '점심', '노트북', '위트', '라이터', '건물', '팝업', '공간', '라떼', '브랜드']",1274,0.27,커피
23,이태원 모터시티,"['피자', '피맥', '친구', '수요미식회', '나들이', '사평', '잭슨', '모임', '주말', '분위기', '디트로이트', '맥주', '장소', '마다', '미국', '사진', '스타일', '웨이팅']",3802,0.27,마다
34,이태원 이타인,"['뇨끼', '파스타', '친구', '생일', '데이트', '레스토랑', '나들이', '예약', '이탈리안', '이탈리아', '주말', '평일', '모임', '한국', '인스타', '호텔', '와인', '웨이팅', '분위기', '자리', '사진', '동기', '튀김', '바질페스토']",948,0.27,뇨끼
41,이태원 키에리,"['치즈케이크', '무화과', '베이커리', '친구', '말차', '케이크', '카페', '디저트', '수요미식회', '건강', '스콘', '케익', '더니', '이상', '주말', '골목', '크림', '사용', '가지', '버터', '마카롱', '고르곤졸라']",2923,0.27,케이크
12,이태원 라운드어바웃,"['우동', '생면', '친구', '데이트', '카레', '한강진', '나들이', '언니', '주말', '한남', '일본', '카페', '점심', '평일', '가정식', '스퀘어', '블루']",1476,0.26,카레
29,이태원 앤트러사이트,"['친구', '카페', '한남', '커피', '동생', '주말', '한강진', '지도', '라떼', '분위기', '건물', '평일', '엔트러', '외관', '아메리카노']",4821,0.26,카페
46,이태원 트로이카,"['만두', '친구', '러시아', '맥주', '요리', '조식', '분위기', '선수', '여행', '문화', '음식점', '다양', '러시안', '이색', '한국', '세계']",1798,0.26,러시아
30,이태원 오복수산,"['대창', '곱창', '친구', '곱창전골', '덮밥', '양대창', '한남', '저녁', '한강진', '냉면', '볶음밥', '핫플레이스', '웨이팅', '양념', '마늘', '은마', '구이', '이태원로', '대기', '무쇠', '인스타']",640,0.25,핫플레이스
48,이태원 파이프,"['피자', '피맥', '감튀', '감자튀김', '친구', '웨이팅', '페퍼로니', '포테이토', '맥주', '마감', '사진', '치즈', '지하', '도착']",7159,0.25,사진
51,이태원 할랄가이즈,"['케밥', '플래터', '친구', '뉴욕', '기분', '점심', '저렴', '외국', '미국', '상륙', '퇴근', '여행', '한국', '푸드', '평일', '트럭', '인기']",3397,0.23,뉴욕
8,이태원 다츠,"['친구', '레스토랑', '김치볶음밥', '닷츠', '브런치', '카페', '핫플레이스', '한남', '점심', '예약', '장소', '주말', '아시아', '아시안', '카츠', '인기', '가츠', '분위기', '산도', '퀴진', '웨이팅']",735,0.22,카페
